MAGeI_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.0056,0.0102,0.0098,0.0072,0.0048,0.014,0.0089,0.0192,0.0119,0.0097,0.005,0.006,0.0122,0.0098,0.0126,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MAPb_0.25Sn_0.75I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.00755,0.0088,0.0043,0.01125,0.00925,0.013775,0.0083,0.004025,0.0093,0.00985,0.00915,0.007775,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MAPb_0.3Sn_0.7I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.00756,0.00866,0.00434,0.01152,0.00954,0.01371,0.0083,0.00395,0.0091,0.00994,0.0094,0.00785,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MAPb_0.5Sn_0.5I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.0076,0.0081,0.0045,0.0126,0.0107,0.01345,0.0083,0.00365,0.0083,0.0103,0.0104,0.00815,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MAPb_0.6Sn_0.4I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.00762,0.00782,0.00458,0.01314,0.01128,0.01332,0.0083,0.0035,0.0079,0.01048,0.0109,0.0083,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MAPb_0.75Sn_0.25I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.00765,0.0074,0.0047,0.01395,0.01215,0.013125,0.0083,0.003275,0.0073,0.01075,0.01165,0.008525,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MAPb_0.7Sn_0.3I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.00764,0.00754,0.00466,0.01368,0.01186,0.01319,0.0083,0.00335,0.0075,0.01066,0.0114,0.00845,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MAPbBr_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.0077,0.0067,0.0049,0.0153,0.0136,0.0128,0.0083,0.0029,0.0063,0.0112,0.0129,0.0089,0.0122,0.0098,0.0063,0.0073,0.007,0.0069,0.0061,0.0067,0.0075,0.0075,0.0069,0.0069,0.0075,0.0069,0.0073,0.0075,0.0075,0.0075
MAPbCl_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.0077,0.0067,0.0049,0.0153,0.0136,0.0128,0.0083,0.0029,0.0063,0.0112,0.0129,0.0089,0.0122,0.0098,0.0063,0.0068,0.005,0.0044,0.0062,0.003,0.008,0.0082,0.0042,0.0048,0.008,0.0033,0.0055,0.0075,0.0075,0.0075
MAPbI_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.0077,0.0067,0.0049,0.0153,0.0136,0.0128,0.0083,0.0029,0.0063,0.0112,0.0129,0.0089,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MASn_0.25Ge_0.75I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.006075,0.010025,0.008375,0.007875,0.00555,0.014025,0.00875,0.0155,0.0115,0.009625,0.005725,0.00635,0.0122,0.0098,0.011025,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MASn_0.5Ge_0.5I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.00655,0.00985,0.00695,0.00855,0.0063,0.01405,0.0086,0.0118,0.0111,0.00955,0.00645,0.0067,0.0122,0.0098,0.00945,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MASn_0.6Pb_0.4I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.00758,0.00838,0.00442,0.01206,0.01012,0.01358,0.0083,0.0038,0.0087,0.01012,0.0099,0.008,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MASn_0.75Ge_0.25I_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.007025,0.009675,0.005525,0.009225,0.00705,0.014075,0.00845,0.0081,0.0107,0.009475,0.007175,0.00705,0.0122,0.0098,0.007875,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
MASnI_3,0.0083,0.0026,0.0044,0.0041,0.0031,0.0018,0.0108,0.0105,0.0031,0.011,0.009,0.0085,0.0075,0.0075,0.0075,0.0075,0.0095,0.0041,0.0099,0.0078,0.0141,0.0083,0.0044,0.0103,0.0094,0.0079,0.0074,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
CsPbBr3,0.0067,0.009,0.0074,0.0108,0.0129,0.0092,0.0044,0.0036,0.0088,0.0034,0.0068,0.0073,0.0075,0.0075,0.0075,0.0077,0.0067,0.0049,0.0153,0.0136,0.0128,0.0083,0.0029,0.0063,0.0112,0.0129,0.0089,0.0122,0.0098,0.0063,0.0073,0.007,0.0069,0.0061,0.0067,0.0075,0.0075,0.0069,0.0069,0.0075,0.0069,0.0073,0.0075,0.0075,0.0075
CsPbCl3,0.0067,0.009,0.0074,0.0108,0.0129,0.0092,0.0044,0.0036,0.0088,0.0034,0.0068,0.0073,0.0075,0.0075,0.0075,0.0077,0.0067,0.0049,0.0153,0.0136,0.0128,0.0083,0.0029,0.0063,0.0112,0.0129,0.0089,0.0122,0.0098,0.0063,0.0068,0.005,0.0044,0.0062,0.003,0.008,0.0082,0.0042,0.0048,0.008,0.0033,0.0055,0.0075,0.0075,0.0075
CsPbI3,0.0067,0.009,0.0074,0.0108,0.0129,0.0092,0.0044,0.0036,0.0088,0.0034,0.0068,0.0073,0.0075,0.0075,0.0075,0.0077,0.0067,0.0049,0.0153,0.0136,0.0128,0.0083,0.0029,0.0063,0.0112,0.0129,0.0089,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
CsSnBr3,0.0067,0.009,0.0074,0.0108,0.0129,0.0092,0.0044,0.0036,0.0088,0.0034,0.0068,0.0073,0.0075,0.0075,0.0075,0.0075,0.0095,0.0041,0.0099,0.0078,0.0141,0.0083,0.0044,0.0103,0.0094,0.0079,0.0074,0.0122,0.0098,0.0063,0.0073,0.007,0.0069,0.0061,0.0067,0.0075,0.0075,0.0069,0.0069,0.0075,0.0069,0.0073,0.0075,0.0075,0.0075
CsSnCl3,0.0067,0.009,0.0074,0.0108,0.0129,0.0092,0.0044,0.0036,0.0088,0.0034,0.0068,0.0073,0.0075,0.0075,0.0075,0.0075,0.0095,0.0041,0.0099,0.0078,0.0141,0.0083,0.0044,0.0103,0.0094,0.0079,0.0074,0.0122,0.0098,0.0063,0.0068,0.005,0.0044,0.0062,0.003,0.008,0.0082,0.0042,0.0048,0.008,0.0033,0.0055,0.0075,0.0075,0.0075
CsSnI3,0.0067,0.009,0.0074,0.0108,0.0129,0.0092,0.0044,0.0036,0.0088,0.0034,0.0068,0.0073,0.0075,0.0075,0.0075,0.0075,0.0095,0.0041,0.0099,0.0078,0.0141,0.0083,0.0044,0.0103,0.0094,0.0079,0.0074,0.0122,0.0098,0.0063,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
CsGeI3,0.0067,0.009,0.0074,0.0108,0.0129,0.0092,0.0044,0.0036,0.0088,0.0034,0.0068,0.0073,0.0075,0.0075,0.0075,0.0056,0.0102,0.0098,0.0072,0.0048,0.014,0.0089,0.0192,0.0119,0.0097,0.005,0.006,0.0122,0.0098,0.0126,0.0082,0.0096,0.01,0.0096,0.0106,0.0068,0.0066,0.0101,0.0098,0.0068,0.0104,0.0091,0.0075,0.0075,0.0075
CsGeBr3,0.0067,0.009,0.0074,0.0108,0.0129,0.0092,0.0044,0.0036,0.0088,0.0034,0.0068,0.0073,0.0075,0.0075,0.0075,0.0056,0.0102,0.0098,0.0072,0.0048,0.014,0.0089,0.0192,0.0119,0.0097,0.005,0.006,0.0122,0.0098,0.0126,0.0073,0.007,0.0069,0.0061,0.0067,0.0075,0.0075,0.0069,0.0069,0.0075,0.0069,0.0073,0.0075,0.0075,0.0075
